university_name,city,type,scholarship_name,coverage,contact
"Nishtar Medical University, Multan",Multan,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Nishtar Medical University (NMU), Nishtar Road, Gillani Colony, Multan Punjab, Pakistan Tel # +92-61-9200231-35 Fax # +92-61-9200227 Email:   nishtarmed@gmail.com"
Nur International University,Lahore,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Chairperson Secretariat,Fatima Memorial Hospital, Shadman, Lahore. +92-42-111555600, +92-42-37421967, +92-42-37503694"
"Pak-Austria Fachhochschule Institute of Applied Sciences and Technology, Haripur",Haripur,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Mang, Haripur-Khyber Pakhtunkhwa Pakistan Tel # +92-995-645112-18 Fax # +92-995-645117"
Pakistan Institute of Development Economics (PIDE),Islamabad,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Pakistan Institute of Development Economics (PIDE),  Quaid-i-Azam University Campus,  P.O. Box. 1091, Islamabad, 44000, Pakistan. +92-51-9248074 +92-51-9248065"
Pakistan Institute of Engineering & Applied Sciences,Islamabad,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Nilore, Islamabad, Pakistan. +92 (51) 1111 PIEAS +92 (51) 1111 74327 +92 (51) 924 8600"
Pakistan Institute of Fashion & Design,Lahore,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"51-J/3, Johar Town, Lahore. +92-42 99232951-57"
Pakistan Military Academy,Abbottabad,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Kakul Road, Abbottabad Pakistan"
Pakistan Naval Academy,Karachi,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Pakistan Naval Academy Karachi, Pakistan"
Peoples University of Medical & Health Sciences for Women,Nawabshah,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Peoples University of Medical & Health Sciences for Women, Nawabshah 67480 (SBA). +92-244-9370260"
Pir Mehr Ali Shah Arid Agriculture University,Rawalpindi,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Shamsabad, Murree Road, Rawalpindi. +92-51-9292104"
"Preston Institute of Management, Science & Technology",Karachi,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"177/2, IEP Building, Karachi. +92-21-32791216, +92-21-32789888, +92-21-32789889  +92-21-32789890"
"Preston University, Karachi",Karachi,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Main Campus:15, Banglore Town, Shahrah-e-Faisal,Karachi. +92-21-34398727, +92-21-34534663-4 UAN:021-111-707-808"
"Punjab Tianjin University of Technology, Lahore",Lahore,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Punjab Tianjin University of Technology (PTUT),  Near Green Town Police station, Township,  Lahore, Pakistan Email:    info@ptut.edu.pk Tel:    +92 42 9933 2438  & +92 42 9933 2439"
"Punjab University of Technology, Rasul-Mandi Bahauddin",Mandi Bahauddin,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"13-km Mandi Bahauddin - Sarai Alamgir Rd, Rasul, Mandi Bahauddin, Punjab 50370, Pakistan Tel # 0092-0546-553216 Email: registrar@putrasul.edu.pk URL # www.putrasul.edu.pk"
Qarshi University,Lahore,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"08-km Thokar Niaz baig, Canal Road,Lahore. +92-42-37499163"
"Quaid-e-Awam University of Engineering, Sciences & Technology",Nawabshah,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Quaid-e-Awam University of Engineering, Science & Technology (QUEST), Nawabshah. +92-244-9370366, +92-244-937 0381"
Quaid-i-Azam University,Islamabad,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Quaid-i-Azam University Islamabad, 45320, Pakistan. +92-051-9064 0000"
Qurtaba University of Science & Information Technology,Peshawar,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Sheikh Yousaf Road, D.I Khan. +92-966-714007-8"
"Rashid Latif Khan University, Lahore",Lahore,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Lahore-Punjab, Pakistan. Tel # +92-49-2451091  Email: info@rlku.edu.pk"
Rawalpindi Medical University,Rawalpindi,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Tipu Rd, Rawalpindi 46000, +92 51 9281011"
"Rawalpindi Women University, Rawalpindi",Rawalpindi,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"6th Road, Satellite Town, Rawalpindi Punjab Pakistan Tel # +92-51-4426873 Fax # + 92-51-4426873 Email:  info@rwu.edu.pk"
Riphah International University,Islamabad,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Hajj Complex Road, Sector I-14, Islamabad +92-51-111-RIPHAH, +92-51-8446000-8 +92-51-5469641-7"
Saifee Burhani University,Karachi,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Plot No. ST-3, Allama Rasheed Turabi Road, Block-G, North Nazimabad, Karachi. and  Saifee Hospital, ST # 1, Block F, North Nazimabad, Karachi. Email: saifeeburhaniuniversity@gmail.com"
"Salim Habib University (Former Barret Hodgson University), Karachi",Karachi,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"The Salim Habib Campus, NC-24, Deh Dih, Korangi Creek, Karachi +92 21 35122931-35"
Sardar Bahadur Khan Women University,Quetta,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Bawrery Road, Quetta. +92-81-9213301"
Sarhad University of Science & Information Technology,Peshawar,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Campus Ring Road LANDI AKHUN AHMAD? Peshawar. +92-91-5230941, +92-91-5230931-33"
Shah Abdul Latif University,Khairpur,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Khairpur Mir's, Sindh. +92-243-9280061-62"
"Shaheed Allah Buksh Soomro University of Arts, Design and Heritages, Jamshoro",Jamshoro,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Sonwillhar Hills, Near East Toll Plaza,  Jamshoro, Sindh. Tel # 0092(22) 9213600 Email: registrar@sabsu.edu.pk"
Shaheed Benazir Bhutto City University,Karachi,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Plot F-201 1st floor & 2nd Floor, Near Site Philips Chowrangi, Labour Square, Site Police Station, Binoria Restaurant, Karachi. +92-21-34242136, +92-21-34242091"
Shaheed Benazir Bhutto Dewan University,Karachi,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Plot 30-A/1, Sector-23, Korangi Industrial Area, Karachi 74900 +92-21-3511 5008-10, +92-21-35115031, +92-21-35115036-7"
Shaheed Benazir Bhutto University,Upper Dir,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Sheringal, Upper Dir, Khyber Pakhtunkhwa. +92-944-885527, +92-944 885529"
Shaheed Benazir Bhutto University of Veterinary & Animal Sciences,Nawabshah,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Main Nawabshah road, Sakrand, District Shaheed Benazirabad. +92-244-322150"
"Shaheed Benazir Bhutto University, Shaheed Benazirabad",Nawabshah,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Civil Lines, Nawabshah. +92-244-9370520, +92-244-9370527-28-29"
Shaheed Benazir Bhutto Women University,Peshawar,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Opposite Fort Balahisar near LRH, Peshawar. +92-91-9212422, +92-91-922 4777"
Shaheed Mohtarma Benazir Bhutto Medical University,Larkana,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Chandka Medical College, SMBBU, Larkana, Sindh. +92-74-9410908"
"Shaheed Zulfikar Ali Bhutto Institute of Science & Technology  University, Karachi",Karachi,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"90 & 100 Clifton, Karachi 75600. +92-21-35830447Ext: 138,  +92-21-111-922-478 Email: info@szabist.edu.pk"
Shaheed Zulfiqar Ali Bhutto Medical University,Islamabad,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Shaheed Zulfiqar Ali Bhutto Medical University (SZABMU), PIMS, G-8/3, Islamabad, 44000 +92-51-9107687"
Shaheed Zulfiqar Ali Bhutto University of Law,Karachi,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Chaudry Khaliq-uz-Zaman Road, Near Lilly Bridge, Clifton, Karachi. +92-21-99206452-53"
Shifa Tameer-e-Millat University,Islamabad,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Shifa Tameer-e-Millat University Pitras Bukhari Road, H-8/4 Islamabad 44000 Pakistan +92-51-8464214, +92-51-8464215 +92-51-4863264"
"Shuhada-e-Army Public School University of Technology, Nowshera",Nowshehra,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Ex-Adamjee Paper and Board Mills, Amangarh, Nowshera. 24100 Phone: 0923-560301"
"Sindh Agriculture University, Tandojam",Hyderabad,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Mirpurkhas-Hyderabad Dual Carriageway, TandoJam, Pakistan. +92-22-2765869, +92-22-2766523"
Sindh Institute of Management & Technology,Karachi,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"ST-25 , Block 14, Gulistan-e-Johar, Karachi. +92-21-34184407, +92-21-34184407, +92-21-34184409 +92-21-34184409-10"
Sindh Institute of Medical Sciences,Karachi,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Civil Hospital Karachi 74200. +92-21-32730351, +92-21-32730387"
Sindh Madresatul Islam University,Karachi,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Aiwan-e-Tijarat Road, Karachi +92-21-99211274, +92-21-99211275"
"Sir Syed (CASE) Institute of Technology, Islamabad",Islamabad,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Sir Syed (CASE) Institute of Technology Block A, Multi Garden, Sector B-17, Islamabad, Pakistan. Tel # +92-51-5203473 Email: registrar@case.edu.pk"
Sir Syed University of Engineering & Technology,Karachi,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"University Road, Karachi-75300. +92-21-34988777, +92-21-34988000, +92-21-234988000 +92-21-534980072"
"Sohail University, Karachi",Karachi,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Sohail University, 22-23 Shaheed-e-Millat Road, Karachi-Sindh Pakistan Tel # +92-21-34931886-9 Email: baqarnawab@hotmail.com"
Sukkur Institute of Business Administration,Sukkur,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Main Campus, Airport Road, Sukkur +92-71-5804420"
Textile Institute of Pakistan,Karachi,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Main Campus: EZ/I/P-8, Eastern Zone, Bin Qasim, Karachi. +92-21-38109641-7, +92-21-38109659"
"Thal University, Bhakkar",Bhakkar,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"University Road, Bhakkar-Punjab Tel # 0092-453-9200070 Email: info@tu.edu.pk"
The Azad Jammu & Kashmir University of Bhimber,Bhimber,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"University of Bhimber,  Bhimber, Azad State of Jammu & Kashmir. Tel # 058289-20235, 058289-60015 Email: registrar@ajkuob.edu.pk"
"The Bolan University of Medical and Health Sciences, Quetta",Quetta,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"The Bolan University of Medical & Health Sciences.  Brewery Road  (87300), Quetta Balochistan, Pakistan Tel # +92-81-9213070 Email: registrar@bumhs.edu.pk"
"The Green International University, Lahore",Lahore,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Bhubtain chowk, Bhobtian Lahore, Punjab Pakistan Tel # +92-042-35459807 Email: info@giu.edu.pk"
"The Shaikh Ayaz University, Shikarpur Sindh",Shikarpur,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Shikarpur, Sindh"
"The Sindh Institute of Physical Medicine and Rehabilitation, Karachi",Karachi,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Sindh Institute of Physical Medicine and Rehabilitation, Opposite SIUT, Near Mujahid Masjid, Chand Bibi Road, South Karachi, Sindh – 74200 (021) 99216212-13-14"
"The Superior University, Lahore",Lahore,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"17 K.M Raiwind Road, Lahore. +92-42-35330361-3, +92-42 381 03777"
The University of Agriculture,Dera Ismail Khan,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Near Baahoo Flour Mill, Bhakkar Road, Dera Ismail Khan Khyber Pakhtunkhwa, Pakistan Tel # +92-966 851545 Email: info@uad.edu.pk"
"The University of Agriculture, Swat",Swat,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"The University of Agriculture, Swat-Khyber Pakhunkhwa Tel # 0092-946-811888 Email: registrar@uoas.edu.pk"
The University of Faisalabad,Faisalabad,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"4-KM Sargodha Road, Faisalabad. +92-41-8868326-30, +92-41-8869358, +92-41-8754396"
The Women University,Multan,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Katchery campus. LMQ Road, Multan. +92-61-9200811"
"Times Institute, Multan",Multan,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Main Road, Peer Khursheed Colony, Multan, Punjab Pakistan Tel: +92-61-6222951-3 UAN: +92-348-111-3330 Email: info@t.edu.pk"
"UIT University, Karachi",Karachi,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Street # 13, Abul Hasan Isphahani Road, Block # 7, Gulshan-e-Iqbal, Karachi. Tel # 0092-21-34994305 Email: info@uituniversity.edu.pk"
University of Agriculture,Faisalabad,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"University of Agriculture University Main Rd? Faisalabad, Pakistan. +92-41-9200200, +92-419200161"
University of Art and Culture,Jamshoro,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,Jamshoro Sindh-Pakistan Tel: +92-333-2777550 Email: info@uac.edu.pk
University of Azad Jammu & Kashmir,Muzaffarabad,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,Challa campus Muzafarabad.13100 (AJK) +92-5822-960479
University of Balochistan,Quetta,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Sariab Road, Quetta. +9281-9211288"
"University of Baltistan, Skardu",Skardu,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Kargil Road, Skardu-Pakistan Ph: +92-05815-960070, 05815-960061 Fax: +92-05815-960256"
University of Buner,Bunair,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"University of Buner Sowari, Buner, Khyber Pakhtunkhwa Tel # +92-939-555211, 555438 Email: registrar@ubuner.edu.pk"
University of Central Punjab,Lahore,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Khayaban-e-Jinnah Road, Johar Town, Lahore. +92-42-35954890, +92-42-35880007, +92-42-35870689"
"University of Chakwal, Chakwal",Chakwal,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,Chakwal Punjab-Pakistan Tel # +92-0543-555087 Email: registrar@uoc.edu.pk
"University of Child Health Sciences, Lahore",Lahore,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Ferozpur Road, Lahore. Tel # 0092-42-99230901 Email: info@chich.edu.pk"
University of Chitral,Chitral,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"University of Chitral Seen, Lasht Chitral, Khyber Pakhtunkhwa Tel # +92-943-412401 Email: registrar@uoch.edu.pk"
University of Education,Lahore,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"College Road, Township, Lahore. +92-42-99262223-4"
"University of Engineering & Applied Sciences, Swat",Swat,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Street 20, Sector D, Kanju Township, District Swat, Khyber Pakhtunkhwa.  Phone : +92 946 613289 +92 (0946)-613282 Email: info@ueas.edu.pk"
University of Engineering & Technology,Peshawar,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Post Box No. 814, Peshawar. +92-91-9216493"
University of Engineering & Technology (2),Lahore,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"GT Road, Lahore-Pakistan Email: registrar@uet.edu.pk Tel # 0092-42-99029216, 042-99029452"
"University of Engineering & Technology (UET), Mardan",Mardan,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"University of Engineering & Technology (UET), Mardan Phone: +92-937-9230295 Fax: +92-937-9230296 Email: Registrar@uetmardan.edu.pk"
"University of Engineering & Technology, Taxila",Rawalpindi,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"University of Engg. & Technology (UET) Taxila. +92-51-9047403, +92-51-9047400"
University of FATA,Kohat,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Govt Degree College Darra Adam Khel Akhurwal F.R Kohat, N-55, KPK-Pakistan. Email: info@fu.edu.pk Tel # +92-91-9218182, 92 91 588 5502"
University of Gujrat,Gujrat,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Camp Office, Fawara Chowk, Gujrat. +92-53-364334"
University of Gwadar,Gawadar,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Sarawan Avenue, New Town, Phase IV Gwadar Balochistan. Tel # +92-86-4411380-81, 86-4411222 Email: registrar@ug.edu.pk"
University of Haripur,Haripur,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Hattar Road, Near Swat Chowk, Tehsil & District Haripur. +92-995-615393"
University of Health Sciences,Lahore,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Khayaban-e-Jamia Punjab,Lahore-54600 +92-42-99231304-09, +92-42-111-33-33-66"
"University of Home Economics, Lahore",Lahore,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Dr. Mateen Fatima Road, Gulberg II ,  Lahore Punjab-Pakistan Tel #+92-42-99263324 Email: registrar@uhe.edu.pk"
University of Jhang,Jhang,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"12 Km Chiniot Road, Jhang Punjab, Pakistan Tel # +92-47-9200425 Email: info@uoj.edu.pk"
University of Karachi,Karachi,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"University Road, Karachi 75270. +92-21-99261336-7"
University of Kotli,Kotli,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Kotli, Azad Jammu & Kashmir, Pakistan Tel # +92 5826 960044 Email: info@uokajk.edu.pk"
University of Lahore,Lahore,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"1-K.M, Raiwind Road, Lahore. +92-42-35963421-30"
University of Lakki Marwat,Lakki Marwat,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"University of Lakki Marwat Mianwali Road, Lakki Marwat Khyber Pakhtunkhwa Pakistan Tel #   0092-969-511819 Email:   ulm_2017@outlook.com"
University of Layyah,Layyah,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Katchehry Road, Layyah. Tel # +92-0606-920237-39,920249 Email: info@ul.edu.pk"
University of Loralai,Loralai,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"College Road, Loralai at Loralai Zhob Division, Balochistan. +92-824-410782"
"University of Makran, Panjgur",Punjgur,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Panjgur District Panjgur, Balochistan-Pakistan Tel # 0092-855-642053 Email:  info@uomp.edu.pk"
University of Malakand,Malakand,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Chakdara, Dir, Lower, Malakand Khyber Pakhtunkhwa +92-945-763441"
University of Management & Technology,Lahore,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"PO Box 10033, CII, Johar Town, Lahore. +92-42-35184790"
University of Mianwali,Mianwali,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"University of Mianwali, Punjab Pakistan"
University of Narowal,Narowal,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"University of Narowal College Road, Narowal, Pakistan +92-542-920049 info@uon.edu.pk"
University of Okara,Okara,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"2 KM Multan Road Renala Khurd By Pass, Okara- Punjab Pakistan Tel # 0092-44-2636060 Email: info@uo.edu.pk"
University of Peshawar,Peshawar,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Old Jamrud Road, Peshawar. +92-91-9216469"
University of Poonch,Poonch,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"B-65, Housing Scheme, Rawalakot (Azad Kashmir) +92-5824-960050"
University of Sahiwal,Sahiwal,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"University of Sahiwal, Farid Town Road, Sahiwal Punjab Pakistan Tel # +92-40-9200430, Fax # +92-40-9200430 Email: uosahiwal@gmail.com"
University of Sargodha,Sargodha,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Main Campus University Road, Sargodha. +92-48-9230170"
University of Science & Technology,Bannu,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Main Campus Township, Bannu. +92-928-633823, +92-928-633817-8"
University of Sindh,Mirpur Khas,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Campus Rd, Jamshoro, Sindh +92-22-9213150, +92-22-9213155, +92-22-9213153"
University of South Asia,Lahore,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"47-Tufail Road, Lahore Cantt. +92-42-36672943, +92-42-366 50983, +92-42-36672942 +92-42-366 73394042, +92-42-36673701, +92-42-6672942"
"University of Sufism and Modern Sciences, Bhitshah Sindh",Bhit Shah,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"The University of Sufism and Modern Sciences,  Bhit Shah, Sindh. Tel # + 92 22 2762415 Fax # + 92 22 2762415 Email: info@usms.edu.pk"
University of Swabi,Swabi,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Anbar Swabi, Ambar, KPK. +92-938-490238"
University of Swat,Swat,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"G.T Road, Odigram, Swat, Khyber Pakhtunkhwa. +92-946-924 00060946, +92-946-724149"
University of the Punjab,Lahore,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Quaid-e-Azam Campus, Lahore. +92-42-99231098-9, +92-42-35840735"
University of Turbat,Turbat,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Overseas Colony, Airport Road, Turbat Balochistan. +92-85-414498"
University of Veterinary & Animal Sciences,Lahore,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Shaykh Abdul Qadir Jilani Roadd, Lahore 54000. +92-42-99211476, +92-42-99211374, +92-42-99211449"
University of Wah,Rawalpindi,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Quaid Avenue, The Mall. Wah Cantt. +92-51-4534993, +92-51-905522255, +92-51-905522256"
Virtual University of Pakistan,Lahore,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"M.A. Jinnah Campus, Defence Road, Off Raiwind Road, Lahore. +92-42-99203901"
Women University Mardan,Mardan,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"PO Box 1212, Canal Road Mardan, KP +937 871 416 pstovc@wumardan.edu.pk webmaster@wumardan.edu.pk"
Women University of Azad Jammu & Kashmir,Bagh,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Women University of Azad Jammu & Kashmir, Bagh Campus"
"Women University, Swabi",Swabi,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Guloo Dehri, Topi Road, Swabi +92-938-224222, +92-938-221138"
Zia-ud-Din University,Karachi,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"4/B, Shahra-e-Ghalib, Block 6, Clifton, Karachi 75600. +92-21-35305451, +92-21- 35833674"
